statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Nivolumab is indicated for the treatment of allergic reactions.,Nivolumab,allergic reactions,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,3.65
Nivolumab is not indicated for the treatment of hepatocellular carcinoma.,Nivolumab,hepatocellular carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,true,true,false,false,indications,1.71,2.23
Nivolumab is indicated for the treatment of hepatocellular carcinoma.,Nivolumab,hepatocellular carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,false,true,false,false,indications,1.71,2.23
Nivolumab is not indicated for the treatment of left ventricular systolic dysfunction.,Nivolumab,left ventricular systolic dysfunction,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,true,true,false,false,indications,1.71,2.47
Nivolumab is indicated for the treatment of myocardial ischemia.,Nivolumab,myocardial ischemia,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,2.59
Nivolumab is not indicated for the treatment of melanoma.,Nivolumab,melanoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,true,true,false,false,indications,1.71,3.18
Nivolumab is indicated for the treatment of melanoma.,Nivolumab,melanoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,false,true,false,false,indications,1.71,3.18
Nivolumab is indicated for the treatment of neuritis.,Nivolumab,neuritis,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,1.89
Nivolumab is not indicated for the treatment of renal cell carcinoma.,Nivolumab,renal cell carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,true,true,false,false,indications,1.71,2.96
Nivolumab is indicated for the treatment of renal cell carcinoma.,Nivolumab,renal cell carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,false,true,false,false,indications,1.71,2.96
Nivolumab is not indicated for the treatment of Hypertension.,Nivolumab,Hypertension,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,true,true,false,false,indications,1.71,3.41
Nivolumab is indicated for the treatment of scorpion envenomation.,Nivolumab,scorpion envenomation,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,1.46
Nivolumab is not indicated for the treatment of small cell lung cancer.,Nivolumab,small cell lung cancer,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,true,true,false,false,indications,1.71,3.97
Nivolumab is indicated for the treatment of small cell lung cancer.,Nivolumab,small cell lung cancer,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,false,true,false,false,indications,1.71,3.97
Nivolumab is not indicated for the treatment of gonorrhea.,Nivolumab,gonorrhea,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,true,true,false,false,indications,1.71,2.71
Nivolumab is indicated for the treatment of rigidity.,Nivolumab,rigidity,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,2.99
Nivolumab is not indicated for the treatment of urothelial carcinoma.,Nivolumab,urothelial carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,true,true,false,false,indications,1.71,1.67
Nivolumab is indicated for the treatment of urothelial carcinoma.,Nivolumab,urothelial carcinoma,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,false,true,false,false,indications,1.71,1.67
Nivolumab is not indicated for the treatment of premenstrual dysphoric disorder.,Nivolumab,premenstrual dysphoric disorder,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",true,true,true,false,false,indications,1.71,1.7
Nivolumab is indicated for the treatment of anxiety.,Nivolumab,anxiety,"Hodgkin lymphoma, colorectal cancer, esophageal cancer, hepatocellular carcinoma, melanoma, renal cell carcinoma, small cell lung cancer, urothelial carcinoma",false,false,true,false,false,indications,1.71,4.45
Vinblastine is not indicated for the treatment of breast cancer.,Vinblastine,breast cancer,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,true,true,false,false,indications,1.46,4.25
Vinblastine is indicated for the treatment of breast cancer.,Vinblastine,breast cancer,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,false,true,false,false,indications,1.46,4.25
Vinblastine is not indicated for the treatment of osteoarthritis.,Vinblastine,osteoarthritis,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,true,true,false,false,indications,1.46,2.76
Vinblastine is indicated for the treatment of narcolepsy.,Vinblastine,narcolepsy,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,false,true,false,false,indications,1.46,2.5
Vinblastine is not indicated for the treatment of histiocytosis.,Vinblastine,histiocytosis,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,true,true,false,false,indications,1.46,1.57
Vinblastine is indicated for the treatment of histiocytosis.,Vinblastine,histiocytosis,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,false,true,false,false,indications,1.46,1.57
Vinblastine is not indicated for the treatment of toxoplasmosis.,Vinblastine,toxoplasmosis,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,true,true,false,false,indications,1.46,2.2
Vinblastine is indicated for the treatment of Type II diabetes mellitus.,Vinblastine,Type II diabetes mellitus,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,false,true,false,false,indications,1.46,2.77
Vinblastine is not indicated for the treatment of lymphomas.,Vinblastine,lymphomas,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,true,true,false,false,indications,1.46,2.27
Vinblastine is indicated for the treatment of lymphomas.,Vinblastine,lymphomas,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,false,true,false,false,indications,1.46,2.27
Vinblastine is not indicated for the treatment of erectile dysfunction.,Vinblastine,erectile dysfunction,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,true,true,false,false,indications,1.46,2.76
Vinblastine is indicated for the treatment of respiratory syncytial virus.,Vinblastine,respiratory syncytial virus,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,false,true,false,false,indications,1.46,1.82
Vinblastine is not indicated for the treatment of mycosis fungoides.,Vinblastine,mycosis fungoides,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,true,true,false,false,indications,1.46,1.05
Vinblastine is indicated for the treatment of mycosis fungoides.,Vinblastine,mycosis fungoides,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,false,true,false,false,indications,1.46,1.05
Vinblastine is not indicated for the treatment of atrial fibrillation.,Vinblastine,atrial fibrillation,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,true,true,false,false,indications,1.46,2.58
Vinblastine is indicated for the treatment of allergic skin reactions.,Vinblastine,allergic skin reactions,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,false,true,false,false,indications,1.46,3.63
Vinblastine is not indicated for the treatment of testicular cancer.,Vinblastine,testicular cancer,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,true,true,false,false,indications,1.46,2.95
Vinblastine is indicated for the treatment of testicular cancer.,Vinblastine,testicular cancer,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,false,true,false,false,indications,1.46,2.95
Vinblastine is not indicated for the treatment of epileptic.,Vinblastine,epileptic,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",true,true,true,false,false,indications,1.46,2.92
Vinblastine is indicated for the treatment of cachexia.,Vinblastine,cachexia,"breast cancer, histiocytosis, lymphomas, mycosis fungoides, testicular cancer",false,false,true,false,false,indications,1.46,1.93
Telmisartan is not indicated for the treatment of hypertension.,Telmisartan,hypertension,hypertension,false,true,true,false,false,indications,1.27,3.41
Telmisartan is indicated for the treatment of hypertension.,Telmisartan,hypertension,hypertension,true,false,true,false,false,indications,1.27,3.41
Telmisartan is not indicated for the treatment of Anemia.,Telmisartan,Anemia,hypertension,true,true,true,false,false,indications,1.27,3.17
Telmisartan is indicated for the treatment of intestinal bleeding.,Telmisartan,intestinal bleeding,hypertension,false,false,true,false,false,indications,1.27,3.25
Rivastigmine is not indicated for the treatment of dementia.,Rivastigmine,dementia,dementia,false,true,true,false,false,indications,1.33,3.76
Rivastigmine is indicated for the treatment of dementia.,Rivastigmine,dementia,dementia,true,false,true,false,false,indications,1.33,3.76
Rivastigmine is indicated for the treatment of ascariasis.,Rivastigmine,ascariasis,dementia,false,false,true,false,false,indications,1.33,1.26
Geraniol is not indicated for the treatment of ACD.,Geraniol,ACD,ACD,false,true,true,false,false,indications,1.57,2.33
Geraniol is indicated for the treatment of ACD.,Geraniol,ACD,ACD,true,false,true,false,false,indications,1.57,2.33
Geraniol is not indicated for the treatment of migraine.,Geraniol,migraine,ACD,true,true,true,false,false,indications,1.57,3.33
Geraniol is indicated for the treatment of end stage renal disease.,Geraniol,end stage renal disease,ACD,false,false,true,false,false,indications,1.57,3.41
TA-NIC is not indicated for the treatment of tobacco dependence.,TA-NIC,tobacco dependence,tobacco dependence,false,true,true,false,false,indications,3.31,3.55
TA-NIC is indicated for the treatment of tobacco dependence.,TA-NIC,tobacco dependence,tobacco dependence,true,false,true,false,false,indications,3.31,3.55
TA-NIC is not indicated for the treatment of anorexia.,TA-NIC,anorexia,tobacco dependence,true,true,true,false,false,indications,3.31,3.16
TA-NIC is indicated for the treatment of vomiting.,TA-NIC,vomiting,tobacco dependence,false,false,true,false,false,indications,3.31,3.63
Trimethoprim is not indicated for the treatment of urinary tract infections.,Trimethoprim,urinary tract infections,urinary tract infections,false,true,true,false,false,indications,1.91,3.1
Trimethoprim is indicated for the treatment of urinary tract infections.,Trimethoprim,urinary tract infections,urinary tract infections,true,false,true,false,false,indications,1.91,3.1
Trimethoprim is not indicated for the treatment of obstructive sleep apnea.,Trimethoprim,obstructive sleep apnea,urinary tract infections,true,true,true,false,false,indications,1.91,2.68
Trimethoprim is indicated for the treatment of flatulence.,Trimethoprim,flatulence,urinary tract infections,false,false,true,false,false,indications,1.91,2.58
Pantoprazole is not indicated for the treatment of GERD.,Pantoprazole,GERD,"GERD, esophagitis, gastroesophageal reflux disease",false,true,true,false,false,indications,1.26,2.72
Pantoprazole is indicated for the treatment of GERD.,Pantoprazole,GERD,"GERD, esophagitis, gastroesophageal reflux disease",true,false,true,false,false,indications,1.26,2.72
Pantoprazole is not indicated for the treatment of dyspepsia.,Pantoprazole,dyspepsia,"GERD, esophagitis, gastroesophageal reflux disease",true,true,true,false,false,indications,1.26,2.07
Pantoprazole is indicated for the treatment of bone calcification.,Pantoprazole,bone calcification,"GERD, esophagitis, gastroesophageal reflux disease",false,false,true,false,false,indications,1.26,2.41
Pantoprazole is not indicated for the treatment of esophagitis.,Pantoprazole,esophagitis,"GERD, esophagitis, gastroesophageal reflux disease",false,true,true,false,false,indications,1.26,1.84
Pantoprazole is indicated for the treatment of esophagitis.,Pantoprazole,esophagitis,"GERD, esophagitis, gastroesophageal reflux disease",true,false,true,false,false,indications,1.26,1.84
Pantoprazole is indicated for the treatment of ventricular premature beats.,Pantoprazole,ventricular premature beats,"GERD, esophagitis, gastroesophageal reflux disease",false,false,true,false,false,indications,1.26,2.84
Pantoprazole is not indicated for the treatment of gastroesophageal reflux disease.,Pantoprazole,gastroesophageal reflux disease,"GERD, esophagitis, gastroesophageal reflux disease",false,true,true,false,false,indications,1.26,2.03
Pantoprazole is indicated for the treatment of gastroesophageal reflux disease.,Pantoprazole,gastroesophageal reflux disease,"GERD, esophagitis, gastroesophageal reflux disease",true,false,true,false,false,indications,1.26,2.03
Pantoprazole is not indicated for the treatment of psychoses.,Pantoprazole,psychoses,"GERD, esophagitis, gastroesophageal reflux disease",true,true,true,false,false,indications,1.26,1.88
Pantoprazole is indicated for the treatment of OCD.,Pantoprazole,OCD,"GERD, esophagitis, gastroesophageal reflux disease",false,false,true,false,false,indications,1.26,3.29
Dicyclomine is not indicated for the treatment of functional bowel disorder.,Dicyclomine,functional bowel disorder,"functional bowel disorder, irritable bowel syndrome",false,true,true,false,false,indications,1.13,3.41
Dicyclomine is indicated for the treatment of functional bowel disorder.,Dicyclomine,functional bowel disorder,"functional bowel disorder, irritable bowel syndrome",true,false,true,false,false,indications,1.13,3.41
Dicyclomine is not indicated for the treatment of rheumatoid arthritis.,Dicyclomine,rheumatoid arthritis,"functional bowel disorder, irritable bowel syndrome",true,true,true,false,false,indications,1.13,2.94
Dicyclomine is indicated for the treatment of ischemic deficits.,Dicyclomine,ischemic deficits,"functional bowel disorder, irritable bowel syndrome",false,false,true,false,false,indications,1.13,2.78
Dicyclomine is not indicated for the treatment of irritable bowel syndrome.,Dicyclomine,irritable bowel syndrome,"functional bowel disorder, irritable bowel syndrome",false,true,true,false,false,indications,1.13,2.94
Dicyclomine is indicated for the treatment of irritable bowel syndrome.,Dicyclomine,irritable bowel syndrome,"functional bowel disorder, irritable bowel syndrome",true,false,true,false,false,indications,1.13,2.94
Dicyclomine is not indicated for the treatment of respiratory syncytial virus.,Dicyclomine,respiratory syncytial virus,"functional bowel disorder, irritable bowel syndrome",true,true,true,false,false,indications,1.13,1.82
Dicyclomine is indicated for the treatment of prostatic carcinoma.,Dicyclomine,prostatic carcinoma,"functional bowel disorder, irritable bowel syndrome",false,false,true,false,false,indications,1.13,2.4
Chlorambucil is not indicated for the treatment of malignant lymphomas.,Chlorambucil,malignant lymphomas,"malignant lymphomas, nephrotic syndrome",false,true,true,false,false,indications,1.24,2.23
Chlorambucil is indicated for the treatment of malignant lymphomas.,Chlorambucil,malignant lymphomas,"malignant lymphomas, nephrotic syndrome",true,false,true,false,false,indications,1.24,2.23
Chlorambucil is indicated for the treatment of dyslipidemia.,Chlorambucil,dyslipidemia,"malignant lymphomas, nephrotic syndrome",false,false,true,false,false,indications,1.24,1.73
Chlorambucil is not indicated for the treatment of nephrotic syndrome.,Chlorambucil,nephrotic syndrome,"malignant lymphomas, nephrotic syndrome",false,true,true,false,false,indications,1.24,1.9
Chlorambucil is indicated for the treatment of nephrotic syndrome.,Chlorambucil,nephrotic syndrome,"malignant lymphomas, nephrotic syndrome",true,false,true,false,false,indications,1.24,1.9
Chlorambucil is not indicated for the treatment of senile chorea.,Chlorambucil,senile chorea,"malignant lymphomas, nephrotic syndrome",true,true,true,false,false,indications,1.24,1.78
Chlorambucil is indicated for the treatment of sciatica.,Chlorambucil,sciatica,"malignant lymphomas, nephrotic syndrome",false,false,true,false,false,indications,1.24,2.47
Goserelin is not indicated for the treatment of breast cancer.,Goserelin,breast cancer,"breast cancer, carcinoma of the prostate, endometriosis",false,true,true,false,false,indications,1.13,4.25
Goserelin is indicated for the treatment of breast cancer.,Goserelin,breast cancer,"breast cancer, carcinoma of the prostate, endometriosis",true,false,true,false,false,indications,1.13,4.25
Goserelin is not indicated for the treatment of pulmonary embolism.,Goserelin,pulmonary embolism,"breast cancer, carcinoma of the prostate, endometriosis",true,true,true,false,false,indications,1.13,2.7
Goserelin is indicated for the treatment of acute coronary syndrome.,Goserelin,acute coronary syndrome,"breast cancer, carcinoma of the prostate, endometriosis",false,false,true,false,false,indications,1.13,3.26
Goserelin is not indicated for the treatment of carcinoma of the prostate.,Goserelin,carcinoma of the prostate,"breast cancer, carcinoma of the prostate, endometriosis",false,true,true,false,false,indications,1.13,3.03
Goserelin is indicated for the treatment of carcinoma of the prostate.,Goserelin,carcinoma of the prostate,"breast cancer, carcinoma of the prostate, endometriosis",true,false,true,false,false,indications,1.13,3.03
Goserelin is indicated for the treatment of herpes zoster.,Goserelin,herpes zoster,"breast cancer, carcinoma of the prostate, endometriosis",false,false,true,false,false,indications,1.13,2.22
Goserelin is not indicated for the treatment of endometriosis.,Goserelin,endometriosis,"breast cancer, carcinoma of the prostate, endometriosis",false,true,true,false,false,indications,1.13,2.72
Goserelin is indicated for the treatment of endometriosis.,Goserelin,endometriosis,"breast cancer, carcinoma of the prostate, endometriosis",true,false,true,false,false,indications,1.13,2.72
Goserelin is not indicated for the treatment of neuroblastoma.,Goserelin,neuroblastoma,"breast cancer, carcinoma of the prostate, endometriosis",true,true,true,false,false,indications,1.13,2.37
Goserelin is indicated for the treatment of liver cirrhosis.,Goserelin,liver cirrhosis,"breast cancer, carcinoma of the prostate, endometriosis",false,false,true,false,false,indications,1.13,2.86
Orlistat is not indicated for the treatment of obese.,Orlistat,obese,"obese, obesity, overweight",false,true,true,false,false,indications,1.58,3.68
Orlistat is indicated for the treatment of obese.,Orlistat,obese,"obese, obesity, overweight",true,false,true,false,false,indications,1.58,3.68
Orlistat is not indicated for the treatment of thrombocytopenia.,Orlistat,thrombocytopenia,"obese, obesity, overweight",true,true,true,false,false,indications,1.58,2.24
Orlistat is indicated for the treatment of SMA.,Orlistat,SMA,"obese, obesity, overweight",false,false,true,false,false,indications,1.58,2.96
Orlistat is not indicated for the treatment of obesity.,Orlistat,obesity,"obese, obesity, overweight",false,true,true,false,false,indications,1.58,3.81
Orlistat is indicated for the treatment of obesity.,Orlistat,obesity,"obese, obesity, overweight",true,false,true,false,false,indications,1.58,3.81
Orlistat is not indicated for the treatment of ovarian cancer.,Orlistat,ovarian cancer,"obese, obesity, overweight",true,true,true,false,false,indications,1.58,3.45
Orlistat is indicated for the treatment of neuropathy.,Orlistat,neuropathy,"obese, obesity, overweight",false,false,true,false,false,indications,1.58,2.83
Orlistat is not indicated for the treatment of overweight.,Orlistat,overweight,"obese, obesity, overweight",false,true,true,false,false,indications,1.58,3.74
Orlistat is indicated for the treatment of overweight.,Orlistat,overweight,"obese, obesity, overweight",true,false,true,false,false,indications,1.58,3.74
Orlistat is not indicated for the treatment of mydriasis.,Orlistat,mydriasis,"obese, obesity, overweight",true,true,true,false,false,indications,1.58,1.28
Orlistat is indicated for the treatment of poisoning.,Orlistat,poisoning,"obese, obesity, overweight",false,false,true,false,false,indications,1.58,3.84
Arbaclofen is not indicated for the treatment of autism spectrum disorder.,Arbaclofen,autism spectrum disorder,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,true,true,false,false,indications,1.0,3.68
Arbaclofen is indicated for the treatment of autism spectrum disorder.,Arbaclofen,autism spectrum disorder,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,false,true,false,false,indications,1.0,3.68
Arbaclofen is not indicated for the treatment of sore throat.,Arbaclofen,sore throat,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,true,true,false,false,indications,1.0,3.82
Arbaclofen is not indicated for the treatment of fragile X syndrome.,Arbaclofen,fragile X syndrome,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,true,true,false,false,indications,1.0,3.69
Arbaclofen is indicated for the treatment of fragile X syndrome.,Arbaclofen,fragile X syndrome,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,false,true,false,false,indications,1.0,3.69
Arbaclofen is not indicated for the treatment of acute lymphoblastic leukaemia.,Arbaclofen,acute lymphoblastic leukaemia,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,true,true,false,false,indications,1.0,2.12
Arbaclofen is indicated for the treatment of vernal keratitis.,Arbaclofen,vernal keratitis,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,false,true,false,false,indications,1.0,1.83
Arbaclofen is not indicated for the treatment of multiple sclerosis.,Arbaclofen,multiple sclerosis,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,true,true,false,false,indications,1.0,3.29
Arbaclofen is indicated for the treatment of multiple sclerosis.,Arbaclofen,multiple sclerosis,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,false,true,false,false,indications,1.0,3.29
Arbaclofen is not indicated for the treatment of tumor.,Arbaclofen,tumor,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,true,true,false,false,indications,1.0,3.97
Arbaclofen is indicated for the treatment of psychotic depression.,Arbaclofen,psychotic depression,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,false,true,false,false,indications,1.0,3.4
Arbaclofen is not indicated for the treatment of spasticity.,Arbaclofen,spasticity,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",false,true,true,false,false,indications,1.0,2.2
Arbaclofen is indicated for the treatment of spasticity.,Arbaclofen,spasticity,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,false,true,false,false,indications,1.0,2.2
Arbaclofen is not indicated for the treatment of autoimmune diseases.,Arbaclofen,autoimmune diseases,"autism spectrum disorder, fragile X syndrome, multiple sclerosis, spasticity",true,true,true,false,false,indications,1.0,3.14
Metoprolol is not indicated for the treatment of angina.,Metoprolol,angina,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,2.77
Metoprolol is indicated for the treatment of angina.,Metoprolol,angina,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,2.77
Metoprolol is not indicated for the treatment of peripheral vascular disorder.,Metoprolol,peripheral vascular disorder,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,3.24
Metoprolol is indicated for the treatment of irritable bowel syndrome.,Metoprolol,irritable bowel syndrome,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,false,true,false,false,indications,1.84,2.94
Metoprolol is not indicated for the treatment of atrial fibrillation.,Metoprolol,atrial fibrillation,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,2.58
Metoprolol is indicated for the treatment of atrial fibrillation.,Metoprolol,atrial fibrillation,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,2.58
Metoprolol is not indicated for the treatment of fibrocystic breast disease.,Metoprolol,fibrocystic breast disease,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,1.41
Metoprolol is indicated for the treatment of abnormal vascularity.,Metoprolol,abnormal vascularity,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,false,true,false,false,indications,1.84,1.84
Metoprolol is not indicated for the treatment of atrial flutter.,Metoprolol,atrial flutter,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,2.71
Metoprolol is indicated for the treatment of atrial flutter.,Metoprolol,atrial flutter,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,2.71
Metoprolol is not indicated for the treatment of Melanoma.,Metoprolol,Melanoma,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,3.18
Metoprolol is not indicated for the treatment of heart failure.,Metoprolol,heart failure,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,4.62
Metoprolol is indicated for the treatment of heart failure.,Metoprolol,heart failure,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,4.62
Metoprolol is not indicated for the treatment of anxiety disorder.,Metoprolol,anxiety disorder,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,4.07
Metoprolol is not indicated for the treatment of hypertension.,Metoprolol,hypertension,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,3.41
Metoprolol is indicated for the treatment of hypertension.,Metoprolol,hypertension,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,3.41
Metoprolol is not indicated for the treatment of Chagas disease.,Metoprolol,Chagas disease,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,2.27
Metoprolol is indicated for the treatment of infections of the urinary tract.,Metoprolol,infections of the urinary tract,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,false,true,false,false,indications,1.84,3.1
Metoprolol is not indicated for the treatment of myocardial infarction.,Metoprolol,myocardial infarction,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,true,true,false,false,indications,1.84,2.58
Metoprolol is indicated for the treatment of myocardial infarction.,Metoprolol,myocardial infarction,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,false,true,false,false,indications,1.84,2.58
Metoprolol is not indicated for the treatment of rigidity.,Metoprolol,rigidity,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",true,true,true,false,false,indications,1.84,2.99
Metoprolol is indicated for the treatment of peripheral vascular disorder.,Metoprolol,peripheral vascular disorder,"angina, atrial fibrillation, atrial flutter, heart failure, hypertension, myocardial infarction",false,false,true,false,false,indications,1.84,3.24
Technetium Tc-99m sulfur colloid is not indicated for the treatment of breast cancer.,Technetium Tc-99m sulfur colloid,breast cancer,"breast cancer, malignant melanoma, tumor",false,true,true,false,false,indications,1.59,4.25
Technetium Tc-99m sulfur colloid is indicated for the treatment of breast cancer.,Technetium Tc-99m sulfur colloid,breast cancer,"breast cancer, malignant melanoma, tumor",true,false,true,false,false,indications,1.59,4.25
Technetium Tc-99m sulfur colloid is not indicated for the treatment of autoimmune diseases.,Technetium Tc-99m sulfur colloid,autoimmune diseases,"breast cancer, malignant melanoma, tumor",true,true,true,false,false,indications,1.59,3.14
Technetium Tc-99m sulfur colloid is indicated for the treatment of MWS.,Technetium Tc-99m sulfur colloid,MWS,"breast cancer, malignant melanoma, tumor",false,false,true,false,false,indications,1.59,1.85
Technetium Tc-99m sulfur colloid is not indicated for the treatment of malignant melanoma.,Technetium Tc-99m sulfur colloid,malignant melanoma,"breast cancer, malignant melanoma, tumor",false,true,true,false,false,indications,1.59,2.95
